year,industry1,industry2,industry3,employment_change
2001,services,wholesale and retail trade,retail trade,-0.9
2001,services,financial services,financial institutions,-
2001,services,financial services,insurance,1
2001,services,business and real estate services,business and real estate services,13.6
2001,services,"community, social and personal services",public administration and education,8.5
2001,services,"community, social and personal services",health and social work,2.7
2001,services,"community, social and personal services","other community, social and personal services",8
2002,others,others,others,0.3
2002,construction,construction,construction,-34.3
2002,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",1.1
2002,manufacturing,paper products and printing,paper products and printing,-0.6
2002,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",0.8
2002,manufacturing,rubber and plastic products,rubber and plastic products,-1.1
2002,manufacturing,fabricated metal products,fabricated metal products,-0.9
2002,manufacturing,machinery and equipment,machinery and equipment,-0.1
2002,manufacturing,electrical products,electrical products,-1.2
2002,manufacturing,electronic products,electronic products,-5
2002,manufacturing,medical and precision instruments,medical and precision instruments,0.4
2002,manufacturing,transport equipment,transport equipment,4.3
2002,manufacturing,other manufacturing industries,other manufacturing industries,-3.1
2002,services,wholesale and retail trade,wholesale trade,-0.4
2002,services,wholesale and retail trade,retail trade,0.3
2002,services,transport and storage,land transport and supporting services,2.8
2002,services,transport and storage,water transport and supporting services,0.2
2002,services,transport and storage,air transport and supporting services,0.2
2002,services,transport and storage,other transport and storage services,0.3
2002,services,hotels and restaurants,hotels,-1.1
2002,services,hotels and restaurants,restaurants,4.4
2002,services,information and communications,broadcasting and publishing,-0.8
2002,services,information and communications,telecommunications,-0.1
2002,services,information and communications,it and other information services,-1.1
2002,services,financial services,financial institutions,-3
2002,services,financial services,insurance,0.9
2002,services,real estate and leasing services,real estate and leasing services,0.4
2002,services,professional services,"legal, accounting and management services",-1.2
2002,services,professional services,architectural and engineering services,-1.9
2002,services,professional services,other professional services,-0.7
2002,services,"community, social and personal services",education and public administration,4.2
2002,services,"community, social and personal services",health and social services,2
2002,services,"community, social and personal services","other community, social and personal services",6.2
2003,others,others,others,-0.4
2003,construction,construction,construction,-17.5
2003,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3
2003,manufacturing,paper products and printing,paper products and printing,-0.4
2003,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",4.2
2003,manufacturing,rubber and plastic products,rubber and plastic products,0.9
2003,manufacturing,fabricated metal products,fabricated metal products,0.1
2003,manufacturing,machinery and equipment,machinery and equipment,0.8
2003,manufacturing,electrical products,electrical products,-0.5
2003,manufacturing,electronic products,electronic products,-2.8
2003,manufacturing,medical and precision instruments,medical and precision instruments,-1
2003,manufacturing,transport equipment,transport equipment,-5.2
2003,manufacturing,other manufacturing industries,other manufacturing industries,-1.3
2003,services,wholesale and retail trade,wholesale trade,-1.9
2003,services,wholesale and retail trade,retail trade,-0.3
2003,services,transport and storage,land transport and supporting services,-1.9
2003,services,transport and storage,water transport and supporting services,0.7
2003,services,transport and storage,air transport and supporting services,-1.2
2003,services,transport and storage,other transport and storage services,1.7
2003,services,hotels and restaurants,hotels,-1.1
2003,services,hotels and restaurants,restaurants,3
2003,services,information and communications,broadcasting and publishing,-1.5
2003,services,information and communications,telecommunications,-0.5
2003,services,information and communications,it and other information services,-0.5
2003,services,financial services,financial institutions,1.5
2003,services,financial services,insurance,0.7
2003,services,real estate and leasing services,real estate and leasing services,-0.8
2003,services,professional services,"legal, accounting and management services",0.6
2003,services,professional services,architectural and engineering services,-1.1
2003,services,professional services,other professional services,0.4
2003,services,"community, social and personal services",education and public administration,4.3
2003,services,"community, social and personal services",health and social services,1.8
2003,services,"community, social and personal services","other community, social and personal services",1.1
2004,others,others,others,-1.3
2004,construction,construction,construction,-9.1
2004,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.9
2004,manufacturing,paper products and printing,paper products and printing,0.5
2004,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",1.2
2004,manufacturing,rubber and plastic products,rubber and plastic products,0.3
2004,manufacturing,fabricated metal products,fabricated metal products,1.1
2004,manufacturing,machinery and equipment,machinery and equipment,5.4
2004,manufacturing,electrical products,electrical products,-0.2
2004,manufacturing,electronic products,electronic products,7.8
2004,manufacturing,medical and precision instruments,medical and precision instruments,1.2
2004,manufacturing,transport equipment,transport equipment,8.3
2004,manufacturing,other manufacturing industries,other manufacturing industries,0.6
2004,services,wholesale and retail trade,wholesale trade,8.3
2004,services,wholesale and retail trade,retail trade,2.7
2004,services,transport and storage,land transport and supporting services,1
2004,services,transport and storage,water transport and supporting services,0.5
2004,services,transport and storage,air transport and supporting services,-0.6
2004,services,transport and storage,other transport and storage services,1.8
2004,services,hotels and restaurants,hotels,-0.1
2004,services,hotels and restaurants,restaurants,4.3
2004,services,information and communications,broadcasting and publishing,0.7
2004,services,information and communications,telecommunications,-0.2
2004,services,information and communications,it and other information services,2.3
2004,services,financial services,financial institutions,4.8
2004,services,financial services,insurance,1.3
2004,services,real estate and leasing services,real estate and leasing services,-0.2
2004,services,professional services,"legal, accounting and management services",2.9
2004,services,professional services,architectural and engineering services,0.3
2004,services,professional services,other professional services,1.3
2004,services,"community, social and personal services",education and public administration,1.3
2004,services,"community, social and personal services",health and social services,1.8
2004,services,"community, social and personal services","other community, social and personal services",9.6
2005,others,others,others,1.7
2005,construction,construction,construction,8.7
2005,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",2.5
2005,manufacturing,paper products and printing,paper products and printing,1
2005,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",1.6
2005,manufacturing,rubber and plastic products,rubber and plastic products,-0.9
2005,manufacturing,fabricated metal products,fabricated metal products,1.5
2005,manufacturing,machinery and equipment,machinery and equipment,5.2
2005,manufacturing,electrical products,electrical products,-
