year,industry1,industry2,industry3,employment_change
2014,services,professional services,"legal, accounting and management services",6.8
2014,services,professional services,architectural and engineering services,0.6
2014,services,professional services,other professional services,5.7
2014,services,administrative and support services,security and investigation,2.4
2014,services,administrative and support services,cleaning and landscaping,4.6
2014,services,administrative and support services,other administrative and support services,7
2014,services,"community, social and personal services",public administration and education,8.9
2014,services,"community, social and personal services",health and social services,9.4
2014,services,"community, social and personal services","arts, entertainment and recreation",1.3
2014,services,"community, social and personal services","other community, social and personal services",13.3
2015,others,others,others,0.7
2015,construction,construction,construction,7.2
2015,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",2.1
2015,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-2.6
2015,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-3.4
2015,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-5
2015,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-1.7
2015,manufacturing,transport equipment,transport equipment,-10.5
2015,manufacturing,other manufacturing industries,other manufacturing industries,-0.1
2015,services,wholesale and retail trade,wholesale trade,-0.1
2015,services,wholesale and retail trade,retail trade,-8.2
2015,services,transportation and storage,land transport and supporting services,3.4
2015,services,transportation and storage,water transport and supporting services,-1.1
2015,services,transportation and storage,air transport and supporting services,0.3
2015,services,transportation and storage,other transportation and storage services,-
2015,services,accommodation and food services,accommodation,-0.5
2015,services,accommodation and food services,food and beverage services,5.7
2015,services,information and communications,"telecommunications, broadcasting and publishing",0.5
2015,services,information and communications,it and other information services,3.8
2015,services,financial and insurance services,financial services,2.8
2015,services,financial and insurance services,insurance services,0.5
2015,services,real estate services,real estate services,-5.4
2015,services,professional services,"legal, accounting and management services",4.6
2015,services,professional services,architectural and engineering services,-1.3
2015,services,professional services,other professional services,-0.6
2015,services,administrative and support services,security and investigation,2.3
2015,services,administrative and support services,cleaning and landscaping,6.1
2015,services,administrative and support services,other administrative and support services,6
2015,services,"community, social and personal services",public administration and education,5
